Presa;Demarcación;Cauce;Fase;Titular;Provincia
ERENTXUN;EBRO;ERENTXUN ERREKA;Explotación;COMUNIDAD DE REGANTES;Araba/Álava
ERIZANA;GALICIA-COSTA;RÍO DE BAÍÑA;Explotación;XUNTA DE GALICIA;Pontevedra
ERMITA, LA;TAJO;RÍO TAJO;Explotación;CENTRAL NUCLEAR DE TRILLO 1;Guadalajara
ERROTALDE;CANTABRICO ORIENTAL;BERROTA ERREKA;Explotación;ESTADO;Gipuzkoa
ESCALES;EBRO;RÍO NOGUERA RIBAGORÇANA;Explotación;ENDESA GENERACION S.A.;Huesca
ESCALINATA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE CASINOS;Valencia/Valéncia
ESCALONA;JUCAR;RÍO CAZUNTA;Explotación;ESTADO;Valencia/Valéncia
ESCALONA;JUCAR;RÍO JÚCAR;Explotación;;Valencia/Valéncia
ESCARRA;EBRO;RÍO ESCARRA;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
ESCATRON;EBRO;;Explotación;GLOBAL3 COMBI, S.L.U.;Zaragoza
ESCURIZA;EBRO;RÍO ESCURIZA;Explotación;COMUNIDAD DE REGANTES DE PANTANO ESCURIZA;Teruel
ESLA;DUERO;RÍO ESLA;Explotación;ESTADO;León
ESPARRAGAL, EL;GUADALQUIVIR;ARROYO DE LAS TORRES;Explotación;J.M. ORIOL - ESPARRAGAL S.A.;Sevilla
ESPARRAGAL, EL;GUADALQUIVIR;RÍO VIAR;Explotación;ESTADO;Sevilla
ESPARRAGAL, EL;SEGURA;;Explotación;ESTADO;Murcia
ESPERANZA, LA;JUCAR;;Explotación;CERAMICA LA ESPERANZA;Alicante/Alacant
ESPOLON, EL;GUADALQUIVIR;;Explotación;RAFAEL VARGAS ESPADA;Córdoba
ESPONELLA;CUENCAS INTERNAS DE CATALUÑA;EL FLUVIÀ;Explotación;GENERALITAT DE CATALUÑA;Girona
ESPOT;EBRO;RIU ESCRITA;Explotación;ENDESA GENERACION S.A.;Lleida
ESTANCA PERDIGUERO;EBRO;;Explotación;COMUNIDAD GENERAL REGADIOS CALAHORRA;Rioja, La
ESTANQUILLAS;EBRO;VERTIENTE POR LA MARGEN DERECHA DE LA ACEQUIA ALTA DE LA NAVA;Explotación;AYUNTAMIENTO DE CINTRUENIGO;Navarra
ESTANY GENTO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
ESTOS;EBRO;RÍO ESTÓS;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
ESTREMERA;TAJO;RÍO TAJO;Explotación;ESTADO;Cuenca
EUGUI;EBRO;RIO ARGA;Explotación;ESTADO;Navarra
EUME;GALICIA-COSTA;RÍO EUME;Explotación;ENDESA GENERACION S.A.;Coruña, A
EXCUSABARAJAS;GRAN CANARIA;BARRANCO DE EXCUSABARAJA;Explotación;COMUNIDAD DE REGANTES DE EXCUSABARAJAS;Palmas, Las
FATAGA;GRAN CANARIA;BARRANCO DE FATAGA;Explotación;CABILDO DE GRAN CANARIA;Palmas, Las
FAVORITA, LA;DUERO;RÍO GRANDE O RÍO CARACENA O ARROYO DEL MOLINILLO;Explotación;"COMUNIDAD DE REGANTES ""LA FAVORITA""";Soria
FAYON;EBRO;;Explotación;COMUNIDAD DE REGANTES DE FAYÓN;Zaragoza
FAYON;EBRO;;Explotación;COMUNIDAD DE REGANTES DE FAYÓN;Zaragoza
FEDERAL, EL;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE VIRGEN DE LAS NIEVES;Alicante/Alacant
FERIAL, EL;EBRO;VAL DE LA FUENTE DEL FERIAL;Explotación;COMUNIDAD DE REGANTES DE EL FERIAL;Navarra
FERIAL, EL;EBRO;VAL DE LA FUENTE DEL FERIAL;Explotación;COMUNIDAD DE REGANTES DE EL FERIAL;Navarra
FERNANDINA, LA;GUADALQUIVIR;RÍO GUARRIZAS;Explotación;ESTADO;Jaén
FERVENZA;GALICIA-COSTA;RÍO XALLAS;Explotación;NATURGY GENERACIÓN, S.L.U.;Coruña, A
FIÑANA;CUENCAS MEDITERRANEAS ANDALUZAS;BARRANCO DEL CASTAÑAR;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
FINCA EL RINCON;GUADIANA;ARROYO TRIBUTARIO DEL ARROYO DEL ALCORNOCAL;Explotación;SOLABEN ELECTRICIDAD UNO, S.A.;Cáceres
FINISTERRE;TAJO;RÍO ALGODOR;Explotación;ESTADO;Toledo
FISCAL;EBRO;RÍO ARA;Explotación;ELECTRICAS REUNIDAS DE ZARAGOZA;Huesca
FLECHA, LA;DUERO;RÍO PISUERGA;Explotación;IBERICA DE ENERGIAS, S.L.;Valladolid
FLIX;EBRO;RÍO EBRO;Explotación;ENDESA GENERACION S.A.;Tarragona
FLORA;JUCAR;;Explotación;BONNY S.A.;Alicante/Alacant
FLORIDA, LA;CANTABRICO OCCIDENTAL;RÍO NARCEA;Explotación;HIDROELECTRICA DEL CANTABRICO, S.A.;Asturias
FLORIDA, LA;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
FLUMEN;EBRO;;Explotación;ESTADO;Huesca
FOIA BERENGUER;JUCAR;;Explotación;HEREDAD DE LA ALQUEDRA, S.A.;Alicante/Alacant
FOIX;CUENCAS INTERNAS DE CATALUÑA;EL FOIX;Explotación;GENERALITAT DE CATALUÑA;Barcelona
FONDO I;JUCAR;;Explotación;BONNY S.A.;Alicante/Alacant
FONDO II;JUCAR;;Explotación;COTOVETA S.A.;Alicante/Alacant
FONTANAL, EL;GUADALQUIVIR;ARROYO MANCERA;Explotación;CAMAGRO S.A.;Sevilla
FORATA;JUCAR;RÍO MAGRO;Explotación;ESTADO;Valencia/Valéncia
FORCADAS;GALICIA-COSTA;REGO DAS FERRERÍAS;Explotación;AYUNTAMIENTO DE EL FERROL;Coruña, A
FOSSE;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
FOSSE;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
FRAGOSO;MIÑO-SIL;RÍO GROU;Explotación;HIDROELECTRICA DE FRAGOSO, S.L;Ourense
FRAGUAS, LAS;TAJO;ARROYO DE FRESNEDOSO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
FRANCIS;EBRO;BARRANC DE FRANCÍ;Explotación;ENDESA GENERACION S.A.;Lleida
FRANCISCO ABELLAN;GUADALQUIVIR;RÍO FARDES;Explotación;ESTADO;Granada
FRESNEDA, LA;GUADALQUIVIR;RÍO JÁNDULA O FRESNEDA O JORGE;Explotación;ESTADO;Ciudad Real
FRESNERA;TAJO;ARROYO DE LA FRESNEDA;Explotación;AMOS Y G. ALONSO;Cáceres
FRESNO, EL;TAJO;ARROYO DE LAS DUEÑAS;Explotación;JOSE Y DEMETRIO QUILES ROBLEDO;Guadalajara
FRESNO, EL;TAJO;ARROYO DEL ROSAL;Explotación;JOSE Y DEMETRIO QUILES ROBLEDO;Guadalajara
FRESNO, EL;TAJO;ARROYO DE MATAMULOS;Explotación;JOSE Y DEMETRIO QUILES ROBLEDO;Guadalajara
FRESNO, EL;TAJO;ARROYO DEL ROSAL;Explotación;JOSE Y DEMETRIO QUILES ROBLEDO;Guadalajara
FRESNO, EL;TAJO;ARROYO DE LAS DUEÑAS;Explotación;JOSE Y DEMETRIO QUILES ROBLEDO;Guadalajara
FRESNO, EL;TAJO;ARROYO DE LAS DUEÑAS;Explotación;JOSE Y DEMETRIO QUILES ROBLEDO;Guadalajara
FRIEIRA;MIÑO-SIL;RÍO MIÑO;Explotación;NATURGY GENERACIÓN, S.L.U.;Ourense
FUENLABRADA;GUADIANA;RIO GUADALEMAR;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Badajoz
FUENLABRADA;GUADIANA;ARROYO DE LAS ADELFAS;Explotación;MARIA DOLORES ARROYO LÓPEZ;Córdoba
FUENSANTA;SEGURA;RIO SEGURA;Explotación;ESTADO;Albacete
FUENTE BLANCA;EBRO;ARROYO MADRE;Explotación;S.A.T. FUENTE BLANCA;Burgos
FUENTE CORREA, ARROYO;GUADIANA;ARROYO DE FUENTE CORREA;Explotación;AMPABER, S. L.;Ciudad Real
FUENTE DE LA ZARZA;GUADIANA;ARROYO DEL CASCAJOSO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Córdoba
FUENTE DEL AZUFRE;MIÑO-SIL;RÍO SIL;Explotación;ESTADO;León
FUENTE GUIJARRO, ARROYO;TAJO;ARROYO DE LA FUENTE GUIJARRO;Explotación;CANDELAS FERRER PICAZO;Guadalajara
FUENTES CLARAS;DUERO;RÍO ADAJA;Explotación;ESTADO;Ávila
FUENTES DE EBRO;EBRO;;Explotación;ACUAEBRO;Zaragoza
FURACON, EL;CANTABRICO OCCIDENTAL;RÍO NALÓN;Explotación;HIDROELECTRICA DEL CANTABRICO, S.A.;Asturias
GABRIEL Y GALAN;TAJO;RÍO ALAGÓN;Explotación;ESTADO;Cáceres
GACHERO I, EL;GUADIANA;;Explotación;Francisco Sastre García Rojo;Ciudad Real
GAIA;CUENCAS INTERNAS DE CATALUÑA;EL GAIÀ;Explotación;REPSOL, S.A;Tarragona
GAITANEJO;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALHORCE;Explotación;ENDESA GENERACION S.A.;Málaga
GALGOS, LOS;GUADIANA;ARROYO DE LOS GALGOS;Explotación;MANUEL Y FRANCISCO GÓMEZ GOMEZ;Badajoz
GALLARDO-LOS YESEROS;GUADALETE Y BARBATE;ARROYO DEL SALADO;Explotación;LOPRAMSA Y ANTONIO LOPEZ DE LA PUERTA;Cádiz
GALLEGO, DEL;EBRO;RÍO GÁLLEGO;Explotación;ACCIONA SALTOS DE AGUA, SL.;Huesca
GALLEGOS DE SOBRINOS;DUERO;ARROYO DE MATABURROS O ARROYO GAMONAL;Explotación;MANCOMUNIDAD DE AGUAS DE LA PRESA DE GAMONAL;Ávila
GALLEGUILLOS;DUERO;RÍO CEA;Explotación;ESTADO;León
GALLIPUEN;EBRO;RÍO GUADALOPILLO;Explotación;ESTADO;Teruel
GALLO;TAJO;RÍO GALLO;Explotación;DIPUTACION GENERAL DE ARAGON;Teruel
GAMBUESA;GRAN CANARIA;BARRANCO DE LA DATA;Explotación;CABILDO DE GRAN CANARIA;Palmas, Las
GAÑANIAS;GRAN CANARIA;BARRANCO DE LA MINA;Explotación;HDES. LAS PALMAS, DRAGONAL;Palmas, Las
GAÑUELAS, LAS;SEGURA;;Explotación;EXPLOTACIONES AGRÍCOLAS DURAN, S.A.T.;Murcia
GARANDONES;DUERO;ARROYO MATENOSO;Explotación;ENDESA GENERACION S.A.;Zamora
GARANDONES;DUERO;ARROYO MATENOSO;Explotación;ENDESA GENERACION S.A.;Zamora
GARCES Santa Cruz de Tenerife;TENERIFE;BARRANCO DE CHABUGO;Explotación;M. GONZALEZ;
GARCIA;TAJO;RÍO JARTÍN;Explotación;HDOS. FACUNDO SALGADO;Cáceres
GARCIA DE SOLA;GUADIANA;RIO GUADIANA;Explotación;ESTADO;Badajoz
GARCIAZ;TAJO;RÍO GARCIAZ;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
GARGALIGAS;GUADIANA;RIO GARGALIGAS;Explotación;ESTADO;Badajoz
GARGANTA DE CUARTOS;TAJO;GARGANTA DE CUATERNAS;Explotación;IBERDROLA GENERACION S.A.;Cáceres
GARGANTA ELIZA;TAJO;GARGANTA DE ELIZA;Explotación;AYUNTAMIENTO DE LANZAHITA;Ávila
GARGANTAFRIA;GUADALQUIVIR;ARROYO DE GARGANTAFRÍA;Explotación;ESTADO;Sevilla
GARGANTA HONDA;DUERO;ARROYO DE LOS POTRILLOS;Explotación;AYUNTAMIENTO DE SOLOSANCHO;Ávila
GARGANTA, LA;GUADIANA;ARROYO DE LA GARGANTA;Explotación;AYUNTAMIENTO DE CONQUISTA;Ciudad Real
GARGANTILLA, ARROYO;GUADIANA;;Explotación;;Ciudad Real
GARGANTILLA, LA;GUADIANA;BARRANCO DE NAVALMORO;Explotación;SOHER;Ciudad Real
GARGANTON, EL;GUADIANA;ARROYO DEL GARGANTON;Explotación;COMPAÑÍA AGRICOLA Y FORESTAL;Ciudad Real
GARGÜERA;TAJO;ARROYO DE LA GARGÜERA;Explotación;ELOY HIDALGO MARTINEZ;Cáceres
GARNACHA I;TINTO, ODIEL Y PIEDRAS;BARRANCO DE AGUAS AGRIAS;Explotación;SAN TELMO IBERICA;Huelva
GARNACHA II;TINTO, ODIEL Y PIEDRAS;BARRANCO DE AGUAS AGRIAS;Explotación;SAN TELMO IBERICA;Huelva
GARONA DE RUDA;EBRO;ARRIU DE RUDA;Explotación;ENDESA GENERACION S.A.;Lleida
GARZA, LA;GUADIANA;RIO SAN JUAN;Explotación;S.A.T. Nº 7494 MAS DEL BORDELLET;Badajoz
GARZA, LA;GUADIANA;;Explotación;ALTAMIRA SANTANDER REAL ESTATE, S.A.;Badajoz
GARZAS, LAS;GRAN CANARIA;BARRANCO DE LAS GARZAS;Explotación;COMUNIDAD DE REGANTES DE NORTE;Palmas, Las
GASSET;GUADIANA;RIO DE LA BECEA;Explotación;ESTADO;Ciudad Real
GATO 1, EL;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO SANTA MARIANA;Explotación;JOSEFA BENJUMEA BENJUMEA y FERNANDO MESSIA BUENJUMEA;Sevilla
GATO 2, EL;GUADALQUIVIR;VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE ANEA;Explotación;JOSEFA BENJUMEA BENJUMEA y FERNANDO MESSIA BUENJUMEA;Sevilla
GATO, EL;GUADALETE Y BARBATE;ARROYO DEL GATO;Explotación;CASTILLO GARCIAGOS S.A.;Cádiz
GAUSA;JUCAR;;Explotación;STO. DE RIEGOS DE SAGUNTO;Valencia/Valéncia
GEBALO;TAJO;RÍO GEVALO;Explotación;JUNTA DE COMUNIDADES DE CASTILLA-LA MANCHA, CONSEJERIA DE ORDENACION DEL TERRITORIO Y VIVIENDA;Toledo
GERGAL;GUADALQUIVIR;RIVERA DE HUELVA;Explotación;EMASESA;Sevilla
GIBADA, LA;GUADIANA;ARROYO DE LA GIBADA;Explotación;DOÑA INES S.A.;Ciudad Real
GIL MARTINEZ 1;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
GIL MARTINEZ 2;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
GIMENELLS;EBRO;CLAMOR DE VALLMANYA;Explotación;FUNDACION PRIVADA OBRA TUTELAR AGRARIA;Lleida
GINESES, LOS;SEGURA;RIO MUNDO;Explotación;COMUNIDAD DE REGANTES;Albacete
GIRIBAILE;GUADALQUIVIR;RÍO GUADALIMAR;Explotación;ESTADO;Jaén
GITANA;GUADALQUIVIR;;Explotación;FINCA LA GITANA, S.L.;Sevilla
GOLA;EBRO;RIU D'UNARRE;Explotación;ENDESA GENERACION S.A.;Lleida
GONZALEZ LACASA;EBRO;ARROYO DE LOS ALBERCOS;Explotación;ESTADO;Rioja, La
GORBEA I;EBRO;ZUBIALDE ERREKA;Explotación;AGUAS MUNICIPALES DE VITORIA S.A.;Araba/Álava
GORBEA II;EBRO;ZUBIALDE ERREKA;Explotación;AGUAS MUNICIPALES DE VITORIA S.A.;Araba/Álava
GORCH BLAU;ISLAS BALEARES;TORRENT DES GORG BLAU;Explotación;GOVERN DE LES ILLES BALEARS;Balears, Illes
GORGOLLON;CANTABRICO OCCIDENTAL;RÍO BESAYA;Explotación;E.ON GENERACION;Cantabria
GOROSTIZA;CANTABRICO ORIENTAL;CASTANOS ERREKA;Explotación;ALTOS HORNOS VIZCAYA;Bizkaia
GOSSAN;TINTO, ODIEL Y PIEDRAS;ARROYO DEL REJONCILLO;Explotación;MANTESUR ANDEVALO, S.L.;Huelva
GRADO I, EL;EBRO;RÍO CINCA;Explotación;ESTADO;Huesca
GRADO II, EL;EBRO;BARRANCO DURÁN;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
GRAJAL, EL;TAJO;RÍO MANZANARES;Explotación;CANAL DE ISABEL II;Madrid
GRAJERA, LA;EBRO;VERTIENTE POR LA MARGEN DERECHA DEL RÍO BAJERO;Explotación;AYUNTAMIENTO DE LOGROÑO;Rioja, La
GRANADOS;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DE GRANADOS;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
GRANDA, LA;CANTABRICO OCCIDENTAL;;Explotación;ARCELORMITAL ESPAÑA, S.A.;Asturias
GRANJA, LA;EBRO;;Explotación;COMUNIDAD DE REGANTES;Rioja, La
GRANJILLA 1;TAJO;ARROYO DE LA FUENTE DEL CAÑAL;Explotación;SRES. AGUIRRE;Madrid
GRANJILLA 2;TAJO;ARROYO DE LA FUENTE DEL CAÑAL;Explotación;SRES. AGUIRRE;Madrid
GRAUS;EBRO;RIU DE TAVASCAN;Explotación;ENDESA GENERACION S.A.;Lleida
GREÑA, LA;TAJO;ARROYO DE CHABARCAS;Explotación;FERNANDO BURGOS RODRIGUEZ;Cáceres
GUADAIZA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADAIZA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
GUADALCACIN II;GUADALETE Y BARBATE;RÍO MAJACEITE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
GUADALEN;GUADALQUIVIR;RÍO GUADALÉN;Explotación;ESTADO;Jaén
GUADALEST;JUCAR;RIU BENIARDÁ O GUADALEST;Explotación;ESTADO;Alicante/Alacant
GUADALHORCE;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALHORCE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
GUADALMANSA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALMANSA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
GUADALMELLATO;GUADALQUIVIR;RÍO GUADALMELLATO;Explotación;ESTADO;Córdoba
GUADALMELLATO;GUADALQUIVIR;RÍO GUADALMELLATO;Explotación;ESTADO;Córdoba
GUADALMENA;GUADALQUIVIR;RÍO GUADALMENA;Explotación;ESTADO;Jaén
GUADALMEZ 2;GUADIANA;ARROYO DE LOS REHUNDIDEROS;Explotación;AYUNTAMIENTO DE GUADALMEZ;Ciudad Real
GUADALMINA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALMINA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
GUADALORA;GUADALQUIVIR;ARROYO DEL ESPARTERO;Explotación;COMUNIDAD DE REGANTES EN FORMACIÓN GUADALORA;Córdoba
GUADALORA ESPARTERO;GUADALQUIVIR;ARROYO DEL ESPARTERO;Explotación;COMUNIDAD DE REGANTES EN FORMACIÓN GUADALORA;Córdoba
GUADALTEBA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADALHORCE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
GUADALUPE;GUADIANA;ARROYO DE GUADALUPEJO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
GUADANUÑO;GUADALQUIVIR;RÍO GUADANUÑO;Explotación;ESTADO;Córdoba
GUADARRANQUE;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO GUADARRANQUE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
GUADARROMAN;GUADALQUIVIR;;Explotación;PARTICULAR;Córdoba
GUADIAMAR;GUADALQUIVIR;;Explotación;FRUTOS DE ANDALUCIA, S.A. (FRUTANSA);Sevilla
GUADIATO Córdoba;GUADALQUIVIR;RÍO GUADIATO;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;
GUADILOBA;TAJO;RÍO GUADIOLOBA;Explotación;AYUNTAMIENTO DE CACERES;Cáceres
GUAJARAZ;TAJO;ARROYO DEL GUAJARAZ;Explotación;AYUNTAMIENTO DE TOLEDO;Toledo
GUARA;EBRO;BARRANCO DE LOS VALLES O RÍO CALCÓN;Explotación;ESTADO;Huesca
GUATEL;TAJO;ARROYO GUATEL;Explotación;ESTADO;Madrid
GUDIN;MIÑO-SIL;RÍO DE FARAMONTAOS;Explotación;AYUNTAMIENTO DE XINZO;Ourense
GUIAMETS;EBRO;RIERA DE LES OLLES;Explotación;ESTADO;Tarragona
GUIJO DE GRANADILLA;TAJO;RÍO ALAGÓN;Explotación;IBERDROLA GENERACION S.A.;Cáceres
GUILLENA;GUADALQUIVIR;RIVERA DE HUELVA;Explotación;ENDESA GENERACION S.A.;Sevilla
GUILLENA SUPERIOR;GUADALQUIVIR;;Explotación;ENDESA GENERACION S.A.;Sevilla
GUILLENA SUPERIOR;GUADALQUIVIR;;Explotación;ENDESA GENERACION S.A.;Sevilla
GUILLENA SUPERIOR;GUADALQUIVIR;;Explotación;ENDESA GENERACION S.A.;Sevilla
GUILLENA SUPERIOR;GUADALQUIVIR;ARROYO CANTALOBOS;Explotación;ENDESA GENERACION S.A.;Sevilla
GUISTOLAS;MIÑO-SIL;RÍO NAVEA;Explotación;IBERDROLA GENERACION S.A.;Ourense
GUITIRIZ;MIÑO-SIL;REGO DE SAN XOÁN;Explotación;AYUNTAMIENTO DE GUITIRIZ;Lugo
GUMA;DUERO;RÍO DUERO;Explotación;SAVASA ( SALTO DE VADOCONTE S.A.);Burgos
HABA, LA;GUADIANA;ARROYO DE LA HIGUERA;Explotación;AYUNTAMIENTO DE LA HABA;Badajoz
HAZA DE LA CALERA;GUADALQUIVIR;;Explotación;SOBERBINA AGROPECUARIA, S.A.;Sevilla
HAZAS III, LAS;GUADIANA;ARROYO DE COLMENITAS;Explotación;EXPLOTACION AGRICOLA Y GANADERA LAS HAZAS S.L.;Córdoba
HAZAS II, LAS;GUADIANA;ARROYO DE COLMENITAS;Explotación;EXPLOTACION AGRICOLA Y GANADERA LAS HAZAS S.L.;Córdoba
HELECHAL;TAJO;ARROYO DEL HELECHAL;Explotación;HERMANOS NAVARRO BALLESTERO;Cáceres
HELECHOSO, EL;TINTO, ODIEL Y PIEDRAS;ARROYO DEL HELECHOSO;Explotación;AGRASUR;Huelva
HERAS;CANTABRICO OCCIDENTAL;ARROYO CUBÓN;Explotación;GLOBAL STEEL WIRE, S.A.;Cantabria
HEREDIA;EBRO;;Explotación;COMUNIDAD DE REGANTES DE HEREDIA;Araba/Álava
HERMIGUA;LA GOMERA;BARRANCO DE LIRIA;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
HERRADA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE PINOSO;Alicante/Alacant
HERREROS;GUADALQUIVIR;;Explotación;ESTADO;Sevilla
HERVAS;TAJO;RÍO DEL HERVÁS;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
HERVAS;TAJO;RÍO AMBROZ;Explotación;ESTADO;Cáceres
HIDROELECTRICA DEL JERTE;TAJO;RÍO JERTE;Explotación;HIDROJERTE, S.L.U.;Cáceres
HIDRO, LA;EBRO;RÍO GÁLLEGO;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Huesca
HIGUERA CERCA, LA;GUADALQUIVIR;;Explotación;LA HIGUERA CERCA, S.A.;Sevilla
HINCHONA, LA;TAJO;SIN NOMBRE;Explotación;AYUNTAMIENTO DE EL TIEMBLO;Ávila
HONDON DE LOS FRAILES;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE HONDON DE LOS FRAILES;Alicante/Alacant
HORCAJO, EL;GUADALQUIVIR;ARROYO DE LA HIGUERA - SEVILLA I;Explotación;J. GOMEZ CRESPO;Sevilla
HORMIGUERO;GRAN CANARIA;BARRANCO DEL HORMIGUERO;Explotación;MANUEL DUARTE ABAD;Palmas, Las
HORMILLA;EBRO;;Explotación;ESTADO;Rioja, La
HORNA I;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA ROMANA;Alicante/Alacant
HORNA II;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA ROMANA;Alicante/Alacant
HORNILLOS, LOS;TAJO;ARROYO LOS HORNILLOS;Explotación;AYUNTAMIENTO DE LA ADRADA;Ávila
HORNOS, LOS;GRAN CANARIA;BARRANCO DE LOS HORNOS;Explotación;CDAD. LA CUMBRE;Palmas, Las
HORNO TEJERO;GUADIANA;RIVERA DE LACARA;Explotación;ESTADO;Badajoz
HOYA DE GIMILEO;EBRO;;Explotación;COMUNIDAD DE REGANTES DE IGEA;Rioja, La
HOYA, LA;TINTO, ODIEL Y PIEDRAS;BARRANCO DE TALLISCA;Explotación;AYUNTAMIENTO DE CALAÑAS;Huelva
HOYA, LA;CUENCAS MEDITERRANEAS ANDALUZAS;RAMBLA HOYA DE LOS ÁLAMOS;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
HOYA, LA;SEGURA;;Explotación;ESTADO;Murcia
HOYA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA HOYA;Valencia/Valéncia
HOYAS, LAS;GRAN CANARIA;BARRANCO DE LA CORUÑA;Explotación;COMUNIDAD DE REGANTES DEL NORTE;Palmas, Las
HOZ, LA;EBRO;BARRANCO DEL MONTE;Explotación;HERMANDAD SINDICAL DE LABRADORES Y GANADEROS DE TORRALBA DE RIBOTA;Zaragoza
HOZ SECA;TAJO;RÍO DE LA HOZ SECA;Explotación;ENEL UNION FENOSA RENOVABLES, S.A.;Guadalajara
HUERTA;GUADALETE Y BARBATE;ARROYO DEL CANDIL;Explotación;AGROPECUARIA LA ALCARIA S.L.;Cádiz
HUERTA DEL CURA;GUADIANA;ARROYO DE LAS POZAS;Explotación;VILLAMAGNA S.A.;Ciudad Real
HUERTO DE LOS MONJES;GUADIANA;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DEL LAGAR;Explotación;EL CERRON DEL CASTILLO DE PRIM;Ciudad Real
HUERTO, EL;GUADIANA;RIO BULLAQUE;Explotación;AYUNTAMIENTO DE BULLAQUE;Ciudad Real
HUESNA;GUADALQUIVIR;RIVERA DE HUESNA;Explotación;ESTADO;Sevilla
HURONES, LOS;GUADALETE Y BARBATE;RÍO MAJACEITE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
IBAHERNANDO;TAJO;ARROYO SANTA MARÍA;Explotación;AYUNTAMIENTO DE IBAHERNANDO;Cáceres
IBAI-EDER;CANTABRICO ORIENTAL;URRESTILLA IBAIA;Explotación;CONSORCIO DE AGUAS DE GUIPUZCOA;Gipuzkoa
IBIUR;CANTABRICO ORIENTAL;IBIUR ERREKA;Explotación;CONSORCIO DE AGUAS DE GUIPUZCOA;Gipuzkoa
